bill_id,Date,Ref. No.,Party's Name,Amount,tax,tax_amount,base_amount,tds,amount_after_tds,payment_id,Due on,Overdue
51,30-Jun-2017,280217/D/3842,The Bussan Auto Finance India Pvt.Ltd-DEL,479682,,,,,,,30-Jun-2017,318
52,30-Jun-2017,280217/D/3843,The Bussan Auto Finance India Pvt.Ltd-DEL,10399,,,,,,,30-Jun-2017,318
53,30-Jun-2017,280217/D/3844,The Bussan Auto Finance India Pvt.Ltd-DEL,31988,,,,,,,30-Jun-2017,318
54,30-Jun-2017,280217/D/3845,The Bussan Auto Finance India Pvt.Ltd-DEL,194,,,,,,,30-Jun-2017,318
55,30-Jun-2017,280217/D/3846,The Bussan Auto Finance India Pvt.Ltd-DEL,2305,,,,,,,30-Jun-2017,318
56,30-Jun-2017,280217/D/3847,The Bussan Auto Finance India Pvt.Ltd-DEL,1058,,,,,,,30-Jun-2017,318
57,30-Jun-2017,300617/D/871,The Bussan Auto Finance India Pvt.Ltd-DEL,392,,,,,,,30-Jun-2017,318
58,01-Aug-2017,020117/D/3302,The Bussan Auto Finance India Pvt.Ltd-DEL,4380,,,,,,,01-Aug-2017,286
59,01-Aug-2017,310517/D/547,The Bussan Auto Finance India Pvt.Ltd-DEL,742,,,,,,,01-Aug-2017,286
60,01-Aug-2017,310517/D/549,The Bussan Auto Finance India Pvt.Ltd-DEL,496,,,,,,,01-Aug-2017,286
61,01-Sep-2017,020617/D/817,The Bussan Auto Finance India Pvt.Ltd-DEL,4380,,,,,,,01-Sep-2017,255
62,29-Sep-2017,020717/D/0065,The Bussan Auto Finance India Pvt.Ltd-DEL,3101.04,,,,,,,29-Sep-2017,227
63,27-Dec-2017,1704001000,The Bussan Auto Finance India Pvt.Ltd-DEL,396979.14,,,,,,,27-Dec-2017,138
64,27-Dec-2017,1704001001,The Bussan Auto Finance India Pvt.Ltd-DEL,15269.99,,,,,,,27-Dec-2017,138
65,27-Dec-2017,1704001002,The Bussan Auto Finance India Pvt.Ltd-DEL,33031.92,,,,,,,27-Dec-2017,138
66,27-Dec-2017,1704001003,The Bussan Auto Finance India Pvt.Ltd-DEL,396.44,,,,,,,27-Dec-2017,138
67,27-Dec-2017,1704001004,The Bussan Auto Finance India Pvt.Ltd-DEL,2364.45,,,,,,,27-Dec-2017,138
68,27-Dec-2017,1704001005,The Bussan Auto Finance India Pvt.Ltd-DEL,1500,,,,,,,27-Dec-2017,138
69,27-Dec-2017,1704001006,The Bussan Auto Finance India Pvt.Ltd-DEL,543.74,,,,,,,27-Dec-2017,138
70,27-Dec-2017,1704001009,The Bussan Auto Finance India Pvt.Ltd-DEL,339.8,,,,,,,27-Dec-2017,138
71,27-Dec-2017,1704001010,The Bussan Auto Finance India Pvt.Ltd-DEL,339.84,,,,,,,27-Dec-2017,138
72,27-Dec-2017,1704001012,The Bussan Auto Finance India Pvt.Ltd-DEL,815.61,,,,,,,27-Dec-2017,138
73,08-Jan-2018,1704001311,The Bussan Auto Finance India Pvt.Ltd-DEL,15269.99,,,,,,,08-Jan-2018,126
74,08-Jan-2018,1704001312,The Bussan Auto Finance India Pvt.Ltd-DEL,2364.45,,,,,,,08-Jan-2018,126
75,08-Jan-2018,1704001313,The Bussan Auto Finance India Pvt.Ltd-DEL,1110.13,,,,,,,08-Jan-2018,126
76,08-Jan-2018,1704001314,The Bussan Auto Finance India Pvt.Ltd-DEL,543.74,,,,,,,08-Jan-2018,126
77,08-Jan-2018,1704001315,The Bussan Auto Finance India Pvt.Ltd-DEL,5385.25,,,,,,,08-Jan-2018,126
78,08-Jan-2018,1704001316,The Bussan Auto Finance India Pvt.Ltd-DEL,396.44,,,,,,,08-Jan-2018,126
79,08-Jan-2018,1704001318,The Bussan Auto Finance India Pvt.Ltd-DEL,509.77,,,,,,,08-Jan-2018,126
80,11-Jan-2018,1704001338,The Bussan Auto Finance India Pvt.Ltd-DEL,33569.94,,,,,,,11-Jan-2018,123
81,11-Jan-2018,1704001341,The Bussan Auto Finance India Pvt.Ltd-DEL,7808.43,,,,,,,11-Jan-2018,123
82,22-Jan-2018,020118/D/1441,The Bussan Auto Finance India Pvt.Ltd-DEL,4494.03,,,,,,,22-Jan-2018,112
83,14-Feb-2018,1704001661,BUSSAN AUTO FINANCE INDIA PVT LTD ACCOUNTS DEL,15269.99,,,,,,,14-Feb-2018,89
84,14-Feb-2018,1704001672,BUSSAN AUTO FINANCE INDIA PVT LTD BUS AUTO FIN DEL,11497.04,,,,,,,14-Feb-2018,89
85,14-Feb-2018,1704001668,BUSSAN AUTO FINANCE INDIA PVT LTD CREDIT TW DEL,396.44,,,,,,,14-Feb-2018,89
86,14-Feb-2018,1704001663,BUSSAN AUTO FINANCE INDIA PVT LTD FINANCE DEL,2364.45,,,,,,,14-Feb-2018,89
87,14-Feb-2018,1704001664,BUSSAN AUTO FINANCE INDIA PVT LTD HR DEL,1257.4,,,,,,,14-Feb-2018,89
88,14-Feb-2018,1704001665,BUSSAN AUTO FINANCE INDIA PVT LTD OPERATIONS DEL,543.74,,,,,,,14-Feb-2018,89
89,14-Feb-2018,1704001667,BUSSAN AUTO FINANCE INDIA PVT LTD OPS PL DEL,5525.91,,,,,,,14-Feb-2018,89
90,14-Feb-2018,1704001671,BUSSAN AUTO FINANCE INDIA PVT LTD SALES-MARKET DEL,509.71,,,,,,,14-Feb-2018,89
91,14-Feb-2018,1704001662,The Bussan Auto Finance India Pvt.Ltd-DEL,28996.3,,,,,,,14-Feb-2018,89
92,20-Feb-2018,020218/D/1571,The Bussan Auto Finance India Pvt.Ltd-DEL,4494.03,,,,,,,20-Feb-2018,83
93,06-Mar-2018,310118/D/1764,BUSSAN AUTO FINANCE INDIA PVT LTD CREDIT TW DEL,42.48,,,,,,,06-Mar-2018,69
94,06-Mar-2018,311217/D/1767,BUSSAN AUTO FINANCE INDIA PVT LTD OPS DEL,108739.12,,,,,,,06-Mar-2018,69
95,06-Mar-2018,020118/D/1768,BUSSAN AUTO FINANCE INDIA PVT LTD OPS DEL,472745.76,,,,,,,06-Mar-2018,69
96,06-Mar-2018,021217/D/1766,BUSSAN AUTO FINANCE INDIA PVT LTD OPS DEL,466218,,,,,,,06-Mar-2018,69
97,06-Mar-2018,301117/D/1765,BUSSAN AUTO FINANCE INDIA PVT LTD OPS DEL,104910.37,,,,,,,06-Mar-2018,69
98,06-Mar-2018,310118/D/1776,BUSSAN AUTO FINANCE INDIA PVT LTD OPS DEL,103566.71,,,,,,,06-Mar-2018,69
99,12-Mar-2018,1704002036,BUSSAN AUTO FINANCE INDIA PVT LTD ACCOUNTS DEL,17016.4,,,,,,,12-Mar-2018,63
100,12-Mar-2018,1704002038,BUSSAN AUTO FINANCE INDIA PVT LTD FINANCE DEL,2364.45,,,,,,,12-Mar-2018,63
101,12-Mar-2018,1704002039,BUSSAN AUTO FINANCE INDIA PVT LTD HR DEL,1132.8,,,,,,,12-Mar-2018,63
102,12-Mar-2018,1704002040,BUSSAN AUTO FINANCE INDIA PVT LTD OPERATIONS DEL,543.74,,,,,,,12-Mar-2018,63
